"","Family","RedList","BodySize","HabitatType","HPD","ExtinctRisk","Habitat","log_BodySize","sqrt_BodySize"
"160","CAMBARIDAE","2",33.5,1,22.36898396,"Near Threatened","Streams/River",3.51154543883102,5.78791845139511
"161","CAMBARIDAE","1",58.9,2,49.23888584,"Least Concern","Lakes/Wetland",4.07584109065754,7.67463354173996
"162","PARASTACIDAE","5",61.3,1,14.34297521,"Critical","Streams/River",4.11577984294217,7.82943165242535
"163","CAMBARIDAE","1",34.1,1,58.08719512,"Least Concern","Streams/River",3.52929738428947,5.83952052826257
"164","CAMBARIDAE","1",34.6,3,17.89468196,"Least Concern","Burrows",3.54385368206368,5.8821764679411
"165","CAMBARIDAE","1",43.2,1,51.01259916,"Least Concern","Streams/River",3.76584049525006,6.57267069006199
"166","CAMBARIDAE","1",37.6,3,43.32128013,"Least Concern","Burrows",3.62700405039585,6.13188388670236
"167","CAMBARIDAE","2",40,3,13.37926136,"Near Threatened","Burrows",3.68887945411394,6.32455532033676
"168","CAMBARIDAE","1",44.2,2,25.61770669,"Least Concern","Lakes/Wetland",3.78872478908365,6.64830805543787
"169","CAMBARIDAE","1",11.7,1,25.44502986,"Least Concern","Streams/River",2.45958884180371,3.42052627529741
"170","CAMBARIDAE","3",34.1,1,25.1302796,"Vulnerable","Streams/River",3.52929738428947,5.83952052826257
"171","CAMBARIDAE","4",20,4,288.5204461,"Endangered","Caves",2.99573227355399,4.47213595499958
"172","PARASTACIDAE","1",32.9,3,0,"Least Concern","Burrows",3.49347265777133,5.73585215987999
"173","CAMBARIDAE","3",40.6,3,13.37926136,"Vulnerable","Burrows",3.70376806660769,6.3718129288296
"174","CAMBARIDAE","1",41.7,3,57.80124,"Least Concern","Burrows",3.73050112880476,6.45755371638518
"175","CAMBARIDAE","2",32,1,217.6895161,"Near Threatened","Streams/River",3.46573590279973,5.65685424949238
"176","CAMBARIDAE","1",22,2,56.75473592,"Least Concern","Lakes/Wetland",3.09104245335832,4.69041575982343
"177","PARASTACIDAE","4",20,3,7.384615385,"Endangered","Burrows",2.99573227355399,4.47213595499958
"178","PARASTACIDAE","1",32.6,3,1.472727273,"Least Concern","Burrows",3.48431228837266,5.70964096944808
"179","PARASTACIDAE","1",39.2,1,16.35209003,"Least Concern","Streams/River",3.66867674679642,6.26099033699941
"180","CAMBARIDAE","1",15.7,1,39.93550228,"Least Concern","Streams/River",2.75366071235426,3.96232255123179
"181","CAMBARIDAE","3",30.5,1,10.11764706,"Vulnerable","Streams/River",3.41772668361337,5.52268050859363
"182","CAMBARIDAE","1",39.2,1,32.21878841,"Least Concern","Streams/River",3.66867674679642,6.26099033699941
"183","CAMBARIDAE","1",42,1,23.64971347,"Least Concern","Streams/River",3.73766961828337,6.48074069840786
"184","CAMBARIDAE","1",44,2,28.37076358,"Least Concern","Lakes/Wetland",3.78418963391826,6.6332495807108
"185","CAMBARIDAE","1",39,1,32.0631068,"Least Concern","Streams/River",3.66356164612965,6.2449979983984
"186","CAMBARIDAE","1",70.4,1,58.3934412,"Least Concern","Streams/River",4.254193263164,8.39047078536121
"187","PARASTACIDAE","5",56.9,1,7.047558656,"Critical","Streams/River",4.04129534113228,7.54320886625844
"188","CAMBARIDAE","5",19,4,53.02397525,"Critical","Caves",2.94443897916644,4.35889894354067
"189","CAMBARIDAE","1",40.4,3,14.89484226,"Least Concern","Burrows",3.6988297849671,6.35609943282828
"190","CAMBARIDAE","3",29.4,3,53.91710232,"Vulnerable","Burrows",3.38099467434464,5.42217668469038
"191","CAMBARIDAE","1",51,1,21.61275272,"Least Concern","Streams/River",3.93182563272433,7.14142842854285
"192","CAMBARIDAE","3",35.8,1,15.51345029,"Vulnerable","Streams/River",3.57794789340665,5.98331012066064
"193","CAMBARIDAE","1",40.2,1,53.25807522,"Least Concern","Streams/River",3.69386699562498,6.34034699365894
"194","CAMBARIDAE","1",34.1,2,16.87609756,"Least Concern","Lakes/Wetland",3.52929738428947,5.83952052826257
"195","CAMBARIDAE","1",37,4,92.43380282,"Least Concern","Caves",3.61091791264422,6.08276253029822
"196","CAMBARIDAE","1",32.3,2,45.6042573,"Least Concern","Lakes/Wetland",3.47506723022861,5.68330889535313
"197","CAMBARIDAE","1",68.6,1,52.83513372,"Least Concern","Streams/River",4.22829253473184,8.28251169633946
"198","PARASTACIDAE","2",42.5,2,154.6094421,"Near Threatened","Lakes/Wetland",3.74950407593037,6.51920240520265
"199","CAMBARIDAE","1",52,1,40.25184393,"Least Concern","Streams/River",3.95124371858143,7.21110255092798
"200","CAMBARIDAE","1",31.4,2,15.02065809,"Least Concern","Lakes/Wetland",3.44680789291421,5.60357029044876
"201","CAMBARIDAE","1",38,1,96.96543812,"Least Concern","Streams/River",3.63758615972639,6.16441400296898
"202","CAMBARIDAE","4",24.5,4,44.18464912,"Endangered","Caves",3.19867311755068,4.94974746830583
"203","PARASTACIDAE","1",27,3,2.820224719,"Least Concern","Burrows",3.29583686600433,5.19615242270663
"204","CAMBARIDAE","1",42.1,3,30.35237168,"Least Concern","Burrows",3.74004774068834,6.48845127900333
"205","CAMBARIDAE","1",35,1,25.10629921,"Least Concern","Streams/River",3.55534806148941,5.91607978309962
"206","CAMBARIDAE","1",35,1,39.16452367,"Least Concern","Streams/River",3.55534806148941,5.91607978309962
"207","CAMBARIDAE","1",40.5,1,27.41000846,"Least Concern","Streams/River",3.70130197411249,6.36396103067893
"208","CAMBARIDAE","1",40.8,2,23.36945939,"Least Concern","Lakes/Wetland",3.70868208141012,6.38748776906852
"209","CAMBARIDAE","1",42.2,2,20.30590301,"Least Concern","Lakes/Wetland",3.74242022104197,6.49615270756469
"210","CAMBARIDAE","1",61,1,31.53234057,"Least Concern","Streams/River",4.11087386417331,7.81024967590665
"211","CAMBARIDAE","1",51,1,21.51978229,"Least Concern","Streams/River",3.93182563272433,7.14142842854285
"212","CAMBARIDAE","3",37.4,1,14.34475806,"Vulnerable","Streams/River",3.62167070442049,6.11555394056826
"213","PARASTACIDAE","1",80,1,21.51159882,"Least Concern","Streams/River",4.38202663467388,8.94427190999916
"214","CAMBARIDAE","1",36,1,31.07159005,"Least Concern","Streams/River",3.58351893845611,6
"215","CAMBARIDAE","4",39.7,1,58.28907721,"Endangered","Streams/River",3.68135118769314,6.30079360080935
"216","PARASTACIDAE","4",51,1,6.297619048,"Endangered","Streams/River",3.93182563272433,7.14142842854285
"217","CAMBARIDAE","1",32.5,1,14.34475806,"Least Concern","Streams/River",3.48124008933569,5.70087712549569
"218","CAMBARIDAE","1",42,1,14.34475806,"Least Concern","Streams/River",3.73766961828337,6.48074069840786
"219","CAMBARIDAE","1",42.9,1,26.08648111,"Least Concern","Streams/River",3.75887182593397,6.54980915752513
"220","CAMBARIDAE","1",30,3,58.30894309,"Least Concern","Burrows",3.40119738166216,5.47722557505166
"221","CAMBARIDAE","1",28.9,1,45.01632753,"Least Concern","Streams/River",3.36384159511839,5.37587202228625
"222","CAMBARIDAE","1",35,3,76.84486474,"Least Concern","Burrows",3.55534806148941,5.91607978309962
"223","CAMBARIDAE","1",65,4,49.0169095,"Least Concern","Caves",4.17438726989564,8.06225774829855
"224","CAMBARIDAE","3",45,1,22.63390929,"Vulnerable","Streams/River",3.80666248977032,6.70820393249937
"225","PARASTACIDAE","4",75.3,2,38.47457627,"Endangered","Lakes/Wetland",4.32148013480585,8.67755725996665
"226","CAMBARIDAE","1",45,4,131.2561551,"Least Concern","Caves",3.80666248977032,6.70820393249937
"227","CAMBARIDAE","3",32.6,1,26.75031901,"Vulnerable","Streams/River",3.48431228837266,5.70964096944808
"228","CAMBARIDAE","1",16.2,1,433.375,"Least Concern","Streams/River",2.78501124223834,4.02492235949962
"229","PARASTACIDAE","5",32.5,3,45.21621622,"Critical","Burrows",3.48124008933569,5.70087712549569
"230","PARASTACIDAE","1",40.5,3,1.167764298,"Least Concern","Burrows",3.70130197411249,6.36396103067893
"231","CAMBARIDAE","5",45,4,42.4275,"Critical","Caves",3.80666248977032,6.70820393249937
"232","CAMBARIDAE","1",37.2,3,10.17933131,"Least Concern","Burrows",3.6163087612791,6.09918027279076
"233","PARASTACIDAE","1",44.9,3,10.74043062,"Least Concern","Burrows",3.80443779474821,6.70074622710038
"234","CAMBARIDAE","4",31.8,3,17.82762763,"Endangered","Burrows",3.45946628978613,5.63914887194867
"235","PARASTACIDAE","2",90,1,295.1397849,"Near Threatened","Streams/River",4.49980967033027,9.48683298050514
"236","CAMBARIDAE","1",168,2,24.58679707,"Least Concern","Lakes/Wetland",5.12396397940326,12.9614813968157
"237","PARASTACIDAE","1",24.4,3,0.888198758,"Least Concern","Burrows",3.19458313229916,4.93963561409139
"238","CAMBARIDAE","1",36,1,142.4676259,"Least Concern","Streams/River",3.58351893845611,6
"239","PARASTACIDAE","1",40.2,3,6.586503067,"Least Concern","Burrows",3.69386699562498,6.34034699365894
"240","PARASTACIDAE","3",17.9,3,0,"Vulnerable","Burrows",2.88480071284671,4.23083916026124
"241","CAMBARIDAE","1",57,1,59.20076482,"Least Concern","Streams/River",4.04305126783455,7.54983443527075
"242","CAMBARIDAE","3",45.6,1,107.6923077,"Vulnerable","Streams/River",3.81990771652034,6.75277720645365
"243","PARASTACIDAE","1",49,3,47.55134596,"Least Concern","Burrows",3.89182029811063,7
"244","PARASTACIDAE","5",39,1,23.47235023,"Critical","Streams/River",3.66356164612965,6.2449979983984
"245","CAMBARIDAE","2",48,1,7.7823219,"Near Threatened","Streams/River",3.87120101090789,6.92820323027551
"246","CAMBARIDAE","4",20,2,18.7099359,"Endangered","Lakes/Wetland",2.99573227355399,4.47213595499958
"247","CAMBARIDAE","1",58.9,3,42.2115791,"Least Concern","Burrows",4.07584109065754,7.67463354173996
"248","PARASTACIDAE","5",41.9,1,3.266666667,"Critical","Streams/River",3.73528582692809,6.4730209330729
"250","PARASTACIDAE","1",26,3,7.299172502,"Least Concern","Burrows",3.25809653802148,5.09901951359278
"251","CAMBARIDAE","1",27,3,58.67062315,"Least Concern","Burrows",3.29583686600433,5.19615242270663
"252","CAMBARIDAE","1",45,1,17.23195043,"Least Concern","Streams/River",3.80666248977032,6.70820393249937
